TreeGrOSS Exchange Data : by BWINPro
95650200 6H
1993;Jahr
0.19;Flaechengroesse ha
4;Anzahl Eckpunkte
No;x;y;z;
ECK1 ;60.22;18.29;0.00
ECK2 ;30.89;0.00;0.00
ECK3 ;0.00;40.93;0.00
ECK4 ;34.58;60.20;0.00
Code;N;No;Age;DBH;Height;Site index;Crown Base;Crown width;alive;Removal Code;x-Coord.;y-Coord.;z-Coord.;Crop tree;
211;1;413;41;3.30;4.93;-9.00;1.85;0.80;-1;0;35.33;53.00;0.00;0;
211;1;414;41;7.40;12.12;-9.00;5.81;2.23;-1;0;35.30;54.00;0.00;0;
211;1;416;41;6.10;10.35;-9.00;4.88;1.81;-1;0;37.30;54.00;0.00;0;
211;1;417;41;8.00;11.94;-9.00;5.61;2.42;-1;0;35.72;55.00;0.00;0;
211;1;418;41;3.90;8.11;-9.00;3.82;1.02;-1;0;34.76;54.00;0.00;0;
211;1;422;41;7.50;9.57;-9.00;4.22;2.27;-1;0;32.97;58.00;0.00;0;
211;1;425;41;17.90;12.46;-9.00;5.20;4.54;-1;0;39.21;52.00;0.00;0;
211;1;428;41;3.40;6.14;-9.00;2.61;0.84;-1;0;38.05;50.00;0.00;0;
211;1;429;41;6.50;9.13;-9.00;4.06;1.94;-1;0;38.96;49.00;0.00;0;
211;1;431;41;4.00;5.17;-9.00;1.92;1.06;-1;0;36.39;46.00;0.00;0;
211;1;503;41;13.00;11.58;-9.00;4.97;3.65;-1;0;53.13;25.00;0.00;0;
211;1;506;41;6.00;6.91;-9.00;2.78;1.78;-1;0;58.75;21.00;0.00;0;
211;1;509;41;8.50;12.27;-9.00;5.75;2.56;-1;0;50.88;21.00;0.00;0;
211;1;533;41;7.00;10.74;-9.00;5.00;2.11;-1;0;31.94;10.00;0.00;0;
211;1;534;41;13.00;11.67;-9.00;5.02;3.65;-1;0;32.23;10.00;0.00;0;
211;1;535;41;11.00;11.37;-9.00;4.98;3.21;-1;0;31.22;10.00;0.00;0;
211;1;571;41;9.00;12.02;-9.00;5.54;2.70;-1;0;23.75;23.00;0.00;0;
211;1;596;41;10.00;14.50;-9.00;6.93;2.97;-1;0;11.12;35.00;0.00;0;
511;1;1;31;9.00;13.20;-9.00;7.30;2.25;-1;0;27.98;37.00;0.00;0;
511;1;2;31;10.70;12.50;-9.00;6.90;2.25;-1;0;28.60;35.00;0.00;0;
511;1;3;31;9.00;12.10;-9.00;7.10;1.85;-1;0;29.92;35.00;0.00;0;
511;1;4;31;11.60;14.10;-9.00;8.60;2.25;-1;0;31.38;34.00;0.00;0;
511;1;8;31;18.50;15.50;-9.00;6.80;2.90;-1;0;31.78;30.00;0.00;0;
511;1;9;31;18.90;15.30;-9.00;6.50;3.05;-1;0;32.53;29.00;0.00;0;
511;1;11;31;19.10;14.80;-9.00;6.50;3.83;-1;0;33.53;26.00;0.00;0;
511;1;12;31;11.60;13.20;-9.00;7.10;2.55;-1;0;34.89;26.00;0.00;0;
